#decoy score
complex.669.pdb 1222.4447
complex.670.pdb 1222.4324
complex.671.pdb 1222.2599
complex.672.pdb 1222.0190
complex.673.pdb 1221.9180
complex.674.pdb 1221.8734
complex.675.pdb 1221.8362
complex.676.pdb 1221.7345
complex.677.pdb 1221.4775
complex.678.pdb 1221.1198
complex.679.pdb 1221.0957
complex.680.pdb 1221.0416
complex.681.pdb 1221.0117
complex.682.pdb 1220.9786
complex.683.pdb 1220.8778
complex.684.pdb 1220.8202
complex.685.pdb 1219.9088
complex.686.pdb 1219.8503
complex.687.pdb 1219.5526
complex.688.pdb 1219.4708
complex.689.pdb 1219.3728
complex.690.pdb 1219.3474
complex.691.pdb 1219.2412
complex.692.pdb 1218.9993
complex.693.pdb 1218.8423
complex.694.pdb 1218.7690
complex.695.pdb 1218.7473
complex.696.pdb 1218.6451
complex.697.pdb 1218.6146
complex.698.pdb 1218.4058
complex.699.pdb 1218.3864
complex.700.pdb 1218.1937
complex.701.pdb 1218.1129
complex.702.pdb 1218.0636
complex.703.pdb 1218.0330
complex.704.pdb 1217.6904
complex.705.pdb 1217.2908
complex.706.pdb 1217.1500
complex.707.pdb 1217.0123
complex.708.pdb 1216.7548
complex.709.pdb 1216.1636
complex.710.pdb 1216.0811
complex.711.pdb 1215.7985
complex.712.pdb 1215.6913
complex.713.pdb 1215.5800
complex.714.pdb 1215.5400
complex.715.pdb 1215.5221
complex.716.pdb 1215.2638
complex.717.pdb 1215.1454
complex.718.pdb 1214.9977
complex.719.pdb 1214.8752
complex.720.pdb 1214.5088
complex.721.pdb 1214.3019
complex.722.pdb 1214.2341
complex.723.pdb 1214.1469
complex.724.pdb 1214.1367
complex.725.pdb 1213.4982
complex.726.pdb 1213.0864
complex.727.pdb 1213.0652
complex.728.pdb 1212.8779
complex.729.pdb 1212.4543
complex.730.pdb 1212.2771
complex.731.pdb 1212.0057
complex.732.pdb 1211.8926
complex.733.pdb 1211.8789
complex.734.pdb 1211.8409
complex.735.pdb 1211.6987
complex.736.pdb 1211.6648
complex.737.pdb 1211.5985
complex.738.pdb 1211.4086
complex.739.pdb 1211.1847
complex.740.pdb 1210.8182
complex.741.pdb 1210.7733
complex.742.pdb 1210.7111
complex.743.pdb 1210.3972
complex.744.pdb 1210.3258
complex.745.pdb 1210.2935
complex.746.pdb 1210.2502
complex.747.pdb 1209.9929
complex.748.pdb 1209.9825
complex.749.pdb 1209.9528
complex.750.pdb 1209.8810
complex.751.pdb 1209.7689
complex.752.pdb 1209.7379
complex.753.pdb 1209.2301
complex.754.pdb 1209.1929
complex.755.pdb 1209.0660
complex.756.pdb 1209.0061
complex.757.pdb 1208.7549
complex.758.pdb 1208.7162
complex.759.pdb 1208.4799
complex.760.pdb 1208.4067
complex.761.pdb 1208.0951
complex.762.pdb 1208.0565
complex.763.pdb 1207.9829
complex.764.pdb 1207.8754
complex.765.pdb 1207.7985
complex.766.pdb 1207.7338
complex.767.pdb 1207.5260
complex.768.pdb 1207.4778
complex.769.pdb 1207.3790
complex.770.pdb 1207.3539
complex.771.pdb 1207.2903
complex.772.pdb 1207.2384
complex.773.pdb 1207.2025
complex.774.pdb 1206.9249
complex.775.pdb 1206.9227
complex.776.pdb 1206.7551
complex.777.pdb 1206.7378
complex.778.pdb 1206.3839
complex.779.pdb 1206.3328
complex.780.pdb 1206.2001
complex.781.pdb 1205.9220
complex.782.pdb 1205.7070
complex.783.pdb 1205.6404
complex.784.pdb 1205.6108
complex.785.pdb 1205.5638
complex.786.pdb 1205.5244
complex.787.pdb 1205.2937
complex.788.pdb 1205.1699
complex.789.pdb 1205.1509
complex.790.pdb 1205.0947
complex.791.pdb 1205.0575
complex.792.pdb 1205.0530
complex.793.pdb 1204.8269
complex.794.pdb 1204.6720
complex.795.pdb 1204.4432
complex.796.pdb 1204.2584
complex.797.pdb 1204.1223
complex.798.pdb 1204.0012
complex.799.pdb 1203.9286
complex.800.pdb 1203.9122
complex.801.pdb 1203.8759
complex.802.pdb 1203.7816
complex.803.pdb 1203.7810
complex.804.pdb 1203.7483
complex.805.pdb 1203.2700
complex.806.pdb 1203.1079
complex.807.pdb 1202.9026
complex.808.pdb 1202.8905
complex.809.pdb 1202.8257
complex.810.pdb 1202.8167
complex.811.pdb 1202.7316
complex.812.pdb 1202.7167
complex.813.pdb 1202.6761
complex.814.pdb 1202.5941
complex.815.pdb 1202.5881
complex.816.pdb 1202.4966
complex.817.pdb 1202.4551
complex.818.pdb 1202.4250
complex.819.pdb 1202.3618
complex.820.pdb 1202.3035
complex.821.pdb 1201.9055
complex.822.pdb 1201.8859
complex.823.pdb 1201.7474
complex.824.pdb 1201.6367
complex.825.pdb 1201.6292
complex.826.pdb 1201.5858
complex.827.pdb 1201.5782
complex.828.pdb 1201.2631
complex.829.pdb 1201.0669
complex.830.pdb 1200.9397
complex.831.pdb 1200.8336
complex.832.pdb 1200.7903
complex.833.pdb 1200.7421
complex.834.pdb 1200.4825
complex.835.pdb 1200.4515
complex.836.pdb 1200.4069
complex.837.pdb 1200.2795
complex.838.pdb 1200.2035
complex.839.pdb 1200.0704
complex.840.pdb 1200.0341
complex.841.pdb 1199.8719
complex.842.pdb 1199.8593
complex.843.pdb 1199.6244
complex.844.pdb 1199.4768
complex.845.pdb 1199.4498
complex.846.pdb 1199.3481
complex.847.pdb 1199.1503
complex.848.pdb 1199.0652
complex.849.pdb 1198.9871
complex.850.pdb 1198.5948
complex.851.pdb 1198.5164
complex.852.pdb 1198.1339
complex.853.pdb 1198.1180
complex.854.pdb 1198.0990
complex.855.pdb 1198.0607
complex.856.pdb 1197.8748
complex.857.pdb 1197.8253
complex.858.pdb 1197.6721
complex.859.pdb 1197.4104
complex.860.pdb 1197.1345
complex.861.pdb 1197.0054
complex.862.pdb 1196.9879
complex.863.pdb 1196.8251
complex.864.pdb 1196.6111
complex.865.pdb 1196.5925
complex.866.pdb 1196.3558
complex.867.pdb 1196.1871
complex.868.pdb 1196.0930
complex.869.pdb 1196.0674
complex.870.pdb 1195.6605
complex.871.pdb 1195.6448
complex.872.pdb 1195.6356
complex.873.pdb 1195.6122
complex.874.pdb 1195.5614
complex.875.pdb 1195.4089
complex.876.pdb 1195.2938
complex.877.pdb 1195.1724
complex.878.pdb 1195.1483
complex.879.pdb 1194.1903
complex.880.pdb 1194.1161
complex.881.pdb 1194.0511
complex.882.pdb 1193.9275
complex.883.pdb 1193.7052
complex.884.pdb 1193.6476
complex.885.pdb 1193.3842
complex.886.pdb 1193.1301
complex.887.pdb 1192.7363
complex.888.pdb 1192.3688
complex.889.pdb 1192.3500
complex.890.pdb 1192.2784
complex.891.pdb 1192.2471
complex.892.pdb 1192.1953
complex.893.pdb 1192.1709
complex.894.pdb 1191.7858
complex.895.pdb 1191.7233
complex.896.pdb 1191.7219
complex.897.pdb 1191.1005
complex.898.pdb 1190.9695
complex.899.pdb 1190.9655
complex.900.pdb 1190.8793
complex.901.pdb 1190.8705
complex.902.pdb 1190.6759
complex.903.pdb 1190.6552
complex.904.pdb 1190.6473
complex.905.pdb 1190.5396
complex.906.pdb 1190.4192
complex.907.pdb 1189.9878
complex.908.pdb 1189.8790
complex.909.pdb 1189.8481
complex.910.pdb 1189.7343
complex.911.pdb 1189.3425
complex.912.pdb 1189.2299
complex.913.pdb 1189.1620
complex.914.pdb 1189.1448
complex.915.pdb 1188.9828
complex.916.pdb 1188.7910
complex.917.pdb 1188.7075
complex.918.pdb 1188.5619
complex.919.pdb 1188.5552
complex.920.pdb 1188.4938
complex.921.pdb 1188.4883
complex.922.pdb 1188.4619
complex.923.pdb 1188.3879
complex.924.pdb 1188.3644
complex.925.pdb 1188.2903
complex.926.pdb 1188.2043
complex.927.pdb 1188.0389
complex.928.pdb 1188.0118
complex.929.pdb 1187.9331
complex.930.pdb 1187.7899
complex.931.pdb 1187.7518
