#decoys scores
complex.454.pdb -2.2680
complex.455.pdb 1.9561
complex.456.pdb -3.2750
complex.457.pdb 1.8375
complex.458.pdb 1.9764
complex.459.pdb -3.2838
complex.460.pdb -3.9605
complex.461.pdb -0.2007
complex.462.pdb 4.9338
complex.463.pdb 4.5936
complex.464.pdb -1.7289
complex.465.pdb 4.4040
complex.466.pdb -2.3039
complex.467.pdb 7.2618
complex.468.pdb 0.0681
complex.469.pdb 0.1391
complex.470.pdb -4.0074
complex.471.pdb 8.0832
complex.472.pdb -3.6190
complex.473.pdb -0.7966
complex.474.pdb -3.6388
complex.475.pdb 1.0596
complex.476.pdb 5.2681
complex.477.pdb -3.5185
complex.478.pdb -3.0316
complex.479.pdb -1.8781
complex.480.pdb 6.5322
complex.481.pdb -3.8066
complex.482.pdb -3.8340
complex.483.pdb 5.1244
complex.484.pdb -0.4498
complex.485.pdb -1.7839
complex.486.pdb -6.0986
complex.487.pdb 2.3739
complex.488.pdb -1.5906
complex.489.pdb -1.3943
complex.490.pdb 3.9189
complex.491.pdb 4.7595
complex.492.pdb 0.9870
complex.493.pdb 6.7311
complex.494.pdb -0.5772
complex.495.pdb -1.6981
complex.496.pdb 7.8481
complex.497.pdb -1.1203
complex.498.pdb -3.3995
complex.499.pdb 2.1959
complex.500.pdb -1.7514
complex.501.pdb 0.6370
complex.502.pdb -4.9530
complex.503.pdb -3.1397
complex.504.pdb 6.9861
complex.505.pdb -1.0462
complex.506.pdb -0.9723
complex.507.pdb 7.7015
complex.508.pdb -0.5396
complex.509.pdb 1.2127
complex.510.pdb -3.5905
complex.511.pdb -0.3892
complex.512.pdb 4.0878
complex.513.pdb 6.7817
complex.514.pdb -5.8298
complex.515.pdb -4.5052
complex.516.pdb -1.5965
complex.517.pdb 1.1896
complex.518.pdb 1.3844
complex.519.pdb 9.0294
complex.520.pdb 0.4840
complex.521.pdb -3.9379
complex.522.pdb 3.6804
complex.523.pdb -3.1746
complex.524.pdb -1.7412
complex.525.pdb 5.2357
complex.526.pdb -0.1254
complex.527.pdb -2.1658
complex.528.pdb 0.5564
complex.529.pdb -0.0220
complex.530.pdb 0.9213
complex.531.pdb 5.2693
complex.532.pdb -2.5148
complex.533.pdb 5.9135
complex.534.pdb -0.3245
complex.535.pdb -3.3380
complex.536.pdb -4.0046
complex.537.pdb 2.3321
complex.538.pdb -4.6261
complex.539.pdb -0.4194
complex.540.pdb -1.0787
complex.541.pdb 6.0283
complex.542.pdb 1.2403
complex.543.pdb 0.2815
complex.544.pdb 2.2757
complex.545.pdb 8.4154
complex.546.pdb -2.7981
complex.547.pdb 5.5082
complex.548.pdb -3.4934
complex.549.pdb 3.3248
complex.550.pdb -3.5079
complex.551.pdb 4.0854
complex.552.pdb 6.3255
complex.553.pdb 5.4229
complex.554.pdb 4.5040
complex.555.pdb 7.6758
complex.556.pdb 6.7249
complex.557.pdb 8.5114
complex.558.pdb -2.2786
complex.559.pdb -4.3925
complex.560.pdb 3.0578
complex.561.pdb -7.6459
complex.562.pdb -2.1356
complex.563.pdb -3.7211
complex.564.pdb 2.6115
complex.565.pdb 4.6501
complex.566.pdb -4.6956
complex.567.pdb 2.6255
complex.568.pdb -2.0585
complex.569.pdb -3.9047
complex.570.pdb -2.4311
complex.571.pdb 6.5809
complex.572.pdb -4.7367
complex.573.pdb 3.0681
complex.574.pdb -2.6547
complex.575.pdb -1.0156
complex.576.pdb 5.9700
complex.577.pdb -1.5993
complex.578.pdb -2.6290
complex.579.pdb 0.6032
complex.580.pdb -5.4522
complex.581.pdb 3.7786
complex.582.pdb -1.3831
complex.583.pdb -0.6047
complex.584.pdb 5.4849
complex.585.pdb -0.4393
complex.586.pdb -2.6830
complex.587.pdb -2.7049
complex.588.pdb 3.7062
complex.589.pdb 5.1347
complex.590.pdb -3.2693
complex.591.pdb 2.3516
complex.592.pdb -2.1228
complex.593.pdb -0.6048
complex.594.pdb 0.6379
complex.595.pdb -4.4270
complex.596.pdb -3.4289
complex.597.pdb -3.0876
complex.598.pdb 8.6624
complex.599.pdb -1.3048
complex.600.pdb -0.2964
complex.601.pdb 0.0385
complex.602.pdb 6.6328
complex.603.pdb -4.2178
complex.604.pdb 3.3517
complex.605.pdb -2.9355
complex.606.pdb 6.5087
complex.607.pdb 4.7017
complex.608.pdb -0.5531
complex.609.pdb -7.2679
complex.610.pdb 5.9135
complex.611.pdb 3.9765
complex.612.pdb 1.6746
complex.613.pdb 2.9599
complex.614.pdb -4.4577
complex.615.pdb 3.2381
complex.616.pdb -2.6352
complex.617.pdb -3.9439
complex.618.pdb 6.1902
complex.619.pdb 2.9569
complex.620.pdb -2.9126
complex.621.pdb -3.6413
complex.622.pdb -4.7895
complex.623.pdb -4.5804
complex.624.pdb 7.0121
